id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
170,1,BMI,M,72,P10,10.0,13.773
171,1,BMI,M,72,P15,15.0,14.042
172,1,BMI,M,72,P25,25.0,14.459
173,1,BMI,M,72,P50,50.0,15.306
174,1,BMI,M,72,P75,75.0,16.258
175,1,BMI,M,72,P85,85.0,16.819
176,1,BMI,M,72,P90,90.0,17.221
177,1,BMI,M,72,P95,95.0,17.854
178,1,BMI,M,72,P97,97.0,18.291
179,1,BMI,M,72,P99,99.0,19.176
180,1,BMI,M,72,P999,99.9,20.91
181,1,BMI,M,73,P01,0.1,12.073
182,1,BMI,M,73,P1,1.0,12.739
183,1,BMI,M,73,P3,3.0,13.163
184,1,BMI,M,73,P5,5.0,13.399
185,1,BMI,M,73,P10,10.0,13.78
186,1,BMI,M,73,P15,15.0,14.049
187,1,BMI,M,73,P25,25.0,14.467
188,1,BMI,M,73,P50,50.0,15.317
189,1,BMI,M,73,P75,75.0,16.273
190,1,BMI,M,73,P85,85.0,16.838
191,1,BMI,M,73,P90,90.0,17.244
192,1,BMI,M,73,P95,95.0,17.882
193,1,BMI,M,73,P97,97.0,18.323
194,1,BMI,M,73,P99,99.0,19.217
195,1,BMI,M,73,P999,99.9,20.975
196,1,BMI,M,74,P01,0.1,12.08
197,1,BMI,M,74,P1,1.0,12.746
198,1,BMI,M,74,P3,3.0,13.17
199,1,BMI,M,74,P5,5.0,13.406
200,1,BMI,M,74,P10,10.0,13.787
201,1,BMI,M,74,P15,15.0,14.057
202,1,BMI,M,74,P25,25.0,14.476
203,1,BMI,M,74,P50,50.0,15.328
204,1,BMI,M,74,P75,75.0,16.29
205,1,BMI,M,74,P85,85.0,16.858
206,1,BMI,M,74,P90,90.0,17.267
207,1,BMI,M,74,P95,95.0,17.911
208,1,BMI,M,74,P97,97.0,18.356
209,1,BMI,M,74,P99,99.0,19.261
210,1,BMI,M,74,P999,99.9,21.044
211,1,BMI,M,75,P01,0.1,12.088
212,1,BMI,M,75,P1,1.0,12.753
213,1,BMI,M,75,P3,3.0,13.177
214,1,BMI,M,75,P5,5.0,13.413
215,1,BMI,M,75,P10,10.0,13.795
216,1,BMI,M,75,P15,15.0,14.065
217,1,BMI,M,75,P25,25.0,14.485
218,1,BMI,M,75,P50,50.0,15.341
219,1,BMI,M,75,P75,75.0,16.307
220,1,BMI,M,75,P85,85.0,16.879
221,1,BMI,M,75,P90,90.0,17.291
222,1,BMI,M,75,P95,95.0,17.941
223,1,BMI,M,75,P97,97.0,18.39
224,1,BMI,M,75,P99,99.0,19.305
225,1,BMI,M,75,P999,99.9,21.114
226,1,BMI,M,76,P01,0.1,12.096
227,1,BMI,M,76,P1,1.0,12.761
228,1,BMI,M,76,P3,3.0,13.185
229,1,BMI,M,76,P5,5.0,13.422
230,1,BMI,M,76,P10,10.0,13.804
231,1,BMI,M,76,P15,15.0,14.075
232,1,BMI,M,76,P25,25.0,14.495
233,1,BMI,M,76,P50,50.0,15.354
234,1,BMI,M,76,P75,75.0,16.326
235,1,BMI,M,76,P85,85.0,16.902
236,1,BMI,M,76,P90,90.0,17.317
237,1,BMI,M,76,P95,95.0,17.972
238,1,BMI,M,76,P97,97.0,18.426
239,1,BMI,M,76,P99,99.0,19.352
240,1,BMI,M,76,P999,99.9,21.188
241,1,BMI,M,77,P01,0.1,12.105
