indicador_codigo,sexo_codigo,meses,l,m,s,stdev,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,source
IMC_EDAD,F,94,-1.3697,15.6246,0.11201,,11.77,12.504,12.984,13.257,13.706,14.029,14.541,15.625,16.922,17.73,18.333,19.321,20.034,21.567,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,95,-1.379,15.6523,0.11246,,11.783,12.519,13.001,13.275,13.724,14.049,14.563,15.652,16.958,17.773,18.381,19.379,20.1,21.653,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,96,-1.388,15.681,0.11291,,11.798,12.535,13.018,13.293,13.744,14.07,14.586,15.681,16.995,17.817,18.43,19.438,20.167,21.74,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,97,-1.3966,15.7107,0.11335,,11.813,12.551,13.036,13.312,13.764,14.091,14.61,15.711,17.034,17.862,18.48,19.498,20.235,21.828,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,98,-1.4047,15.7415,0.1138,,11.828,12.569,13.055,13.331,13.786,14.114,14.635,15.742,17.073,17.908,18.532,19.56,20.305,21.919,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,99,-1.4125,15.7732,0.11424,,11.845,12.587,13.075,13.352,13.808,14.137,14.661,15.773,17.114,17.955,18.585,19.623,20.376,22.01,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,100,-1.4199,15.8058,0.11469,,11.862,12.605,13.095,13.373,13.831,14.162,14.687,15.806,17.156,18.004,18.639,19.687,20.449,22.103,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,101,-1.427,15.8394,0.11513,,11.879,12.625,13.116,13.395,13.854,14.187,14.715,15.839,17.198,18.053,18.693,19.752,20.522,22.198,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,102,-1.4336,15.8738,0.11557,,11.897,12.645,13.137,13.418,13.879,14.213,14.743,15.874,17.242,18.103,18.749,19.818,20.597,22.293,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,103,-1.4398,15.909,0.11601,,11.915,12.666,13.159,13.441,13.904,14.239,14.772,15.909,17.286,18.154,18.806,19.885,20.672,22.389,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,104,-1.4456,15.9451,0.11644,,11.934,12.687,13.182,13.465,13.93,14.266,14.802,15.945,17.331,18.206,18.864,19.953,20.748,22.486,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,105,-1.4511,15.9818,0.11688,,11.954,12.708,13.206,13.489,13.956,14.294,14.832,15.982,17.377,18.259,18.922,20.022,20.826,22.584,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,106,-1.4561,16.0194,0.11731,,11.974,12.731,13.23,13.514,13.983,14.323,14.864,16.019,17.424,18.313,18.982,20.092,20.904,22.683,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,107,-1.4607,16.0575,0.11774,,11.994,12.753,13.254,13.54,14.011,14.352,14.895,16.058,17.472,18.367,19.042,20.162,20.983,22.783,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,108,-1.465,16.0964,0.11816,,12.014,12.776,13.279,13.566,14.039,14.382,14.928,16.096,17.52,18.422,19.102,20.233,21.062,22.882,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,109,-1.4688,16.1358,0.11859,,12.035,12.8,13.305,13.592,14.067,14.412,14.96,16.136,17.569,18.478,19.164,20.305,21.142,22.983,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,110,-1.4723,16.1759,0.11901,,12.057,12.824,13.331,13.62,14.097,14.443,14.994,16.176,17.618,18.535,19.226,20.378,21.223,23.084,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,111,-1.4753,16.2166,0.11943,,12.078,12.848,13.357,13.647,14.126,14.474,15.028,16.217,17.669,18.592,19.289,20.451,21.304,23.186,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,112,-1.478,16.258,0.11985,,12.1,12.873,13.384,13.675,14.156,14.506,15.063,16.258,17.72,18.65,19.352,20.524,21.386,23.289,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,113,-1.4803,16.2999,0.12026,,12.122,12.898,13.411,13.704,14.187,14.538,15.098,16.3,17.771,18.708,19.416,20.598,21.468,23.391,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,114,-1.4823,16.3425,0.12067,,12.145,12.924,13.439,13.733,14.218,14.571,15.134,16.343,17.823,18.767,19.481,20.673,21.551,23.494,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,115,-1.4838,16.3858,0.12108,,12.168,12.95,13.467,13.762,14.25,14.605,15.17,16.386,17.876,18.827,19.546,20.749,21.635,23.598,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,116,-1.485,16.4298,0.12148,,12.191,12.976,13.496,13.792,14.283,14.639,15.207,16.43,17.93,18.887,19.612,20.825,21.719,23.701,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,117,-1.4859,16.4746,0.12188,,12.215,13.003,13.525,13.823,14.316,14.674,15.245,16.475,17.984,18.949,19.679,20.902,21.804,23.806,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,118,-1.4864,16.52,0.12228,,12.24,13.031,13.555,13.854,14.349,14.709,15.283,16.52,18.039,19.011,19.746,20.979,21.889,23.911,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,119,-1.4866,16.5663,0.12268,,12.264,13.059,13.585,13.886,14.384,14.745,15.323,16.566,18.096,19.074,19.815,21.058,21.976,24.017,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,120,-1.4864,16.6133,0.12307,,12.29,13.088,13.616,13.919,14.418,14.782,15.362,16.613,18.152,19.137,19.884,21.137,22.063,24.123,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,121,-1.4859,16.6612,0.12346,,12.315,13.117,13.648,13.952,14.454,14.819,15.403,16.661,18.21,19.202,19.954,21.217,22.151,24.23,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,122,-1.4851,16.71,0.12384,,12.342,13.147,13.681,13.986,14.491,14.858,15.445,16.71,18.269,19.267,20.025,21.298,22.239,24.337,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,123,-1.4839,16.7595,0.12422,,12.368,13.177,13.714,14.02,14.528,14.897,15.487,16.76,18.328,19.334,20.097,21.379,22.328,24.444,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,124,-1.4825,16.81,0.1246,,12.396,13.208,13.747,14.055,14.566,14.937,15.53,16.81,18.389,19.401,20.17,21.462,22.418,24.553,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,125,-1.4807,16.8614,0.12497,,12.424,13.24,13.782,14.092,14.604,14.977,15.574,16.861,18.45,19.469,20.244,21.545,22.509,24.661,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,126,-1.4787,16.9136,0.12534,,12.452,13.272,13.817,14.128,14.644,15.019,15.619,16.914,18.512,19.538,20.318,21.629,22.601,24.77,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,127,-1.4763,16.9667,0.12571,,12.481,13.305,13.852,14.165,14.684,15.061,15.664,16.967,18.575,19.608,20.394,21.714,22.693,24.88,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,128,-1.4737,17.0208,0.12607,,12.511,13.339,13.889,14.204,14.724,15.104,15.71,17.021,18.64,19.679,20.47,21.8,22.786,24.991,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,129,-1.4708,17.0757,0.12643,,12.54,13.373,13.926,14.242,14.766,15.147,15.758,17.076,18.705,19.751,20.547,21.887,22.88,25.102,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
IMC_EDAD,F,130,-1.4677,17.1316,0.12678,,12.571,13.408,13.964,14.282,14.809,15.192,15.806,17.132,18.771,19.824,20.626,21.974,22.975,25.213,bmi-girls-perc-who2007-exp.xlsx:bmi_girls_perc_WHO2007_exp
