id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
42,352.0,10.1,0.0,13.1,70.6,68.4,3.8,0.0,4.3,1.0,0.15,0.12,0.43,0.0,8.0,0.0,48.0,0.0,0.1,0.5,1.0,0.53,10.1,0.13,17.0,0.0,0.75,0.0,0.0,34.0,116.0,4.3,10.0,0.76,46.0,43.0,285.0,3.8,0.2,62.2,0.03,ALA,0.0,25.0,0.0
43,130.0,68.6,0.0,5.2,24.9,24.9,0.0,0.0,0.0,1.1,0.15,0.12,0.43,33.0,6.0,6.0,0.0,0.0,0.0,0.0,0.21,0.15,0.99,0.034,64.0,0.0,0.19,0.0,0.0,6.0,63.0,1.1,0.0,0.56,18.0,6.0,24.0,0.0,0.093,0.0,0.02,ALA,0.0,10.0,0.0
44,352.0,10.7,0.0,13.1,63.7,61.4,2.3,0.0,9.3,2.9,0.41,0.3,1.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.67,0.11,2.3,0.043,0.0,53.0,0.0,0.0,0.0,34.0,370.0,4.0,1.9,0.8,91.0,5.0,490.0,0.0,0.0,1.9,0.08,ALA,0.0,85.0,0.0
45,104.0,77.4,0.0,4.7,12.7,12.7,0.0,0.0,1.8,3.4,1.3,1.6,0.3,23.0,0.0,0.0,0.0,0.1,0.3,0.5,0.12,0.06,1.6,0.2,10.0,0.0,0.3,0.0,2.0,20.0,70.0,1.3,10.0,0.5,18.0,444.0,163.0,0.64,0.2,20.0,0.04,ALA,0.1,15.0,0.0
46,151.0,68.2,0.0,9.5,16.3,15.3,1.0,0.0,0.9,5.1,2.0,2.3,0.5,26.0,38.0,38.0,0.0,0.1,0.3,0.5,0.12,0.06,1.6,0.2,10.0,0.0,0.3,0.0,2.0,20.0,86.0,1.1,10.0,0.5,18.0,435.0,163.0,0.64,0.2,20.0,0.03,ALA,0.1,12.0,0.0
47,82.4,85.9,0.0,5.0,3.9,0.0,3.9,3.9,0.0,5.2,0.6,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.07,0.03,0.1,0.07,19.0,0.0,0.08,0.0,0.47,100.0,47.0,0.4,0.0,0.2,15.0,32.0,120.0,0.2,0.1,1.3,0.2,ALA,0.0,60.0,2.0
48,54.8,87.9,0.0,3.2,5.8,0.0,5.8,5.8,1.3,1.8,0.21,0.31,0.8,0.0,2.0,0.0,12.0,0.0,0.74,0.0,0.12,0.42,0.88,0.062,1.0,0.0,0.08,0.0,0.0,3.0,47.0,0.8,0.0,0.39,28.0,3.0,191.0,0.2,0.1,1.3,0.31,ALA,0.0,40.0,0.0
49,54.6,86.4,0.0,5.5,4.7,2.3,2.3,0.0,2.4,1.0,0.14,0.23,0.58,0.0,4.2,0.0,25.0,0.0,0.1,0.0,0.15,0.16,1.4,0.16,160.0,0.0,1.4,0.0,1.0,32.0,75.0,0.89,1.0,0.96,19.0,30.0,235.0,0.17,0.23,0.6,0.04,ALA,0.0,30.0,0.0
50,340.0,13.1,0.0,0.09,83.2,77.0,2.0,0.0,3.3,0.07,0.0,0.016,0.041,0.0,8.3,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,25.2,40.0,1.0,10.0,1.0,9.6,10.3,13.2,0.0,0.0,5.0,0.01,ALA,0.0,15.0,0.0
51,192.0,57.4,0.0,15.7,15.7,13.8,1.9,0.0,4.9,6.3,1.4,1.8,2.0,5.0,1.7,0.0,10.0,0.0,0.23,4.2,2.7,0.24,3.8,0.3,124.0,2.0,0.29,0.0,4.5,136.0,206.0,2.4,0.0,1.3,56.0,569.0,333.0,0.95,0.2,22.6,0.1,ALA,0.2,40.0,0.0
52,475.0,5.0,0.0,36.8,23.5,10.8,12.7,0.0,11.2,23.5,2.9,11.4,4.5,0.0,0.0,0.0,0.0,0.0,1.5,70.0,0.75,0.28,10.6,0.46,345.0,0.0,1.8,0.0,0.0,210.0,600.0,6.9,0.0,3.9,240.0,9.0,1660.0,4.0,2.9,9.0,1.05,ALA,0.0,120.0,0.0
53,501.0,41.1,0.0,0.0,5.9,3.0,2.9,0.0,0.0,53.0,13.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
54,129.0,67.7,0.0,9.0,22.1,0.0,0.0,0.0,0.0,0.55,0.057,0.1,0.22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,1.1,0.19,100.0,0.0,0.0,0.0,16.5,25.0,173.0,3.2,0.0,1.5,37.0,11.0,322.0,0.0,0.0,0.6,0.11,ALA,0.0,120.0,0.0
55,283.0,50.4,0.0,18.5,9.8,9.8,0.0,0.0,2.8,18.2,2.9,4.5,9.3,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.3,11.2,0.83,0.0,0.0,26.0,0.0,0.0,0.0,63.0,225.0,372.0,0.0,1.5,36.0,888.0,231.0,0.0,0.0,144.0,0.05,ALA,0.3,20.0,0.0
56,104.0,76.0,0.0,18.0,3.5,3.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.36,2.6,0.22,24.0,0.08,0.0,0.0,0.0,111.0,266.0,2.7,0.0,1.1,81.0,9.0,412.0,0.0,0.0,0.0,0.35,ALA,0.0,110.0,1.0
57,120.0,71.7,0.0,7.2,14.1,13.7,0.4,0.0,4.1,2.9,0.31,0.72,1.3,0.0,3.5,0.0,21.0,0.0,1.6,132.0,0.13,0.06,1.2,0.04,67.0,0.0,0.29,0.0,0.0,43.0,335.0,2.8,1.0,1.2,24.0,220.0,110.0,0.6,0.17,1.0,0.03,ALA,0.0,40.0,0.0
58,101.0,72.9,0.0,6.7,15.7,14.7,1.0,0.0,4.4,0.3,0.07,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.2,9.5,0.1,0.04,1.3,0.07,60.0,0.0,0.17,0.0,0.0,71.0,84.0,2.8,1.0,2.3,23.0,243.0,362.0,0.22,0.47,0.6,0.1,ALA,0.0,65.0,0.0
59,84.2,76.9,0.0,8.4,9.9,9.4,0.5,0.0,4.6,0.2,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.24,9.5,0.16,0.07,2.2,0.1,60.0,0.0,0.14,0.0,1.0,66.0,92.0,2.5,1.0,2.3,27.0,294.0,420.0,0.22,0.14,7.1,0.09,ALA,0.0,180.0,0.0
60,109.0,71.9,0.0,8.8,14.9,14.5,0.4,0.0,3.8,0.7,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,61.5,0.14,0.07,1.8,0.28,30.0,0.0,0.2,0.0,0.0,22.0,130.0,3.5,1.0,1.4,16.0,238.0,310.0,0.5,0.25,2.8,0.08,ALA,0.0,80.0,0.0
61,394.0,10.4,0.0,36.2,40.4,0.0,0.0,0.0,0.0,9.7,1.2,3.9,2.4,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.64,0.22,2.2,0.36,0.0,0.0,0.0,0.0,4.8,176.0,440.0,4.4,0.0,4.8,198.0,15.0,1013.0,0.0,0.0,8.2,0.15,ALA,0.0,60.0,0.0
62,341.0,11.0,0.0,20.8,44.3,41.9,2.4,0.0,15.5,5.5,0.36,1.6,2.5,0.0,33.0,0.0,198.0,0.0,0.82,264.0,0.45,0.14,4.6,0.55,185.0,0.0,1.3,0.0,4.1,143.0,332.0,6.8,1.5,3.4,122.0,25.0,875.0,2.7,0.84,8.2,0.04,ALA,0.0,70.0,0.0
