ref_code,sexo,edad_meses,edad_dias,medida_cm,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,source_file
WFL,M,,,52.6,-0.3521,3.9059,0.08735,,,2.783,3.04,3.297,3.584,3.906,4.268,4.678,5.142,5.606,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.7,-0.3521,3.9306,0.08729,,,2.801,3.06,3.318,3.607,3.931,4.295,4.707,5.173,5.64,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.8,-0.3521,3.9555,0.08723,,,2.82,3.08,3.339,3.63,3.956,4.322,4.736,5.205,5.674,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,52.9,-0.3521,3.9806,0.08717,,,2.838,3.1,3.361,3.653,3.981,4.349,4.765,5.237,5.709,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53,-0.3521,4.006,0.08711,,,2.857,3.12,3.383,3.677,4.006,4.377,4.795,5.27,5.744,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.1,-0.3521,4.0315,0.08705,,,2.876,3.14,3.405,3.7,4.032,4.404,4.825,5.302,5.779,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.2,-0.3521,4.0572,0.08699,,,2.895,3.161,3.427,3.724,4.057,4.432,4.855,5.335,5.814,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.3,-0.3521,4.0831,0.08693,,,2.914,3.182,3.449,3.748,4.083,4.46,4.885,5.368,5.85,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.4,-0.3521,4.1092,0.08687,,,2.933,3.202,3.472,3.772,4.109,4.488,4.916,5.401,5.886,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.5,-0.3521,4.1354,0.08681,,,2.953,3.223,3.494,3.796,4.135,4.517,4.947,5.434,5.922,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.6,-0.3521,4.1619,0.08675,,,2.972,3.245,3.517,3.821,4.162,4.545,4.978,5.468,5.958,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.7,-0.3521,4.1885,0.08669,,,2.992,3.266,3.54,3.846,4.188,4.574,5.009,5.502,5.995,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.8,-0.3521,4.2153,0.08663,,,3.012,3.287,3.563,3.871,4.215,4.603,5.04,5.536,6.032,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,53.9,-0.3521,4.2422,0.08657,,,3.032,3.309,3.586,3.895,4.242,4.632,5.072,5.57,6.069,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54,-0.3521,4.2693,0.08651,,,3.052,3.33,3.609,3.921,4.269,4.661,5.104,5.605,6.106,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.1,-0.3521,4.2965,0.08645,,,3.072,3.352,3.633,3.946,4.296,4.691,5.136,5.639,6.143,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.2,-0.3521,4.3239,0.08639,,,3.092,3.374,3.656,3.971,4.324,4.72,5.168,5.674,6.181,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.3,-0.3521,4.3513,0.08633,,,3.112,3.396,3.68,3.997,4.351,4.75,5.2,5.709,6.218,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.4,-0.3521,4.3789,0.08627,,,3.133,3.418,3.704,4.022,4.379,4.78,5.232,5.744,6.256,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.5,-0.3521,4.4066,0.08621,,,3.153,3.44,3.727,4.048,4.407,4.81,5.264,5.779,6.294,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.6,-0.3521,4.4344,0.08615,,,3.174,3.463,3.751,4.074,4.434,4.84,5.297,5.815,6.332,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.7,-0.3521,4.4623,0.0861,,,3.195,3.485,3.775,4.099,4.462,4.87,5.33,5.85,6.371,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.8,-0.3521,4.4903,0.08604,,,3.215,3.507,3.799,4.125,4.49,4.9,5.363,5.886,6.409,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,54.9,-0.3521,4.5185,0.08598,,,3.236,3.53,3.824,4.152,4.518,4.931,5.396,5.922,6.448,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55,-0.3521,4.5467,0.08592,,,3.257,3.553,3.848,4.178,4.547,4.961,5.428,5.957,6.486,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.1,-0.3521,4.575,0.08586,,,3.278,3.575,3.872,4.204,4.575,4.992,5.462,5.993,6.525,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.2,-0.3521,4.6034,0.0858,,,3.299,3.598,3.897,4.23,4.603,5.022,5.495,6.029,6.564,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.3,-0.3521,4.6319,0.08575,,,3.32,3.621,3.921,4.257,4.632,5.053,5.528,6.066,6.603,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.4,-0.3521,4.6605,0.08569,,,3.342,3.644,3.946,4.283,4.66,5.084,5.562,6.102,6.642,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.5,-0.3521,4.6892,0.08563,,,3.363,3.667,3.971,4.31,4.689,5.115,5.595,6.138,6.681,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.6,-0.3521,4.718,0.08558,,,3.384,3.69,3.996,4.337,4.718,5.146,5.629,6.175,6.721,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.7,-0.3521,4.7469,0.08552,,,3.406,3.713,4.02,4.363,4.747,5.178,5.663,6.211,6.76,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.8,-0.3521,4.7758,0.08546,,,3.427,3.736,4.045,4.39,4.776,5.209,5.696,6.248,6.8,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,55.9,-0.3521,4.8048,0.08541,,,3.449,3.76,4.07,4.417,4.805,5.24,5.73,6.285,6.839,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56,-0.3521,4.8338,0.08535,,,3.47,3.783,4.095,4.444,4.834,5.271,5.764,6.322,6.879,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.1,-0.3521,4.8629,0.08529,,,3.492,3.806,4.121,4.471,4.863,5.303,5.798,6.358,6.919,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.2,-0.3521,4.892,0.08524,,,3.514,3.83,4.146,4.498,4.892,5.334,5.832,6.395,6.958,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.3,-0.3521,4.9212,0.08518,,,3.535,3.853,4.171,4.525,4.921,5.366,5.866,6.432,6.998,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.4,-0.3521,4.9504,0.08513,,,3.557,3.876,4.196,4.552,4.95,5.397,5.901,6.469,7.038,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.5,-0.3521,4.9796,0.08507,,,3.579,3.9,4.221,4.579,4.98,5.429,5.935,6.506,7.078,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.6,-0.3521,5.0088,0.08502,,,3.6,3.923,4.246,4.606,5.009,5.46,5.969,6.543,7.118,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.7,-0.3521,5.0381,0.08497,,,3.622,3.947,4.272,4.633,5.038,5.492,6.003,6.581,7.158,wfl-boys-zscore-expanded-table.xlsx
WFL,M,,,56.8,-0.3521,5.0673,0.08491,,,3.644,3.97,4.297,4.661,5.067,5.524,6.037,6.617,7.198,wfl-boys-zscore-expanded-table.xlsx
