id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
78,78,,11.717000,12.883000,14.049000,15.315000,16.688000,18.178000,19.793000,21.543000,23.294000,bfa-boys-zscore-expanded-tables.xlsx
79,79,,11.734000,12.900000,14.066000,15.332000,16.706000,18.196000,19.813000,21.565000,23.318000,bfa-boys-zscore-expanded-tables.xlsx
80,80,,11.751000,12.917000,14.083000,15.349000,16.723000,18.214000,19.832000,21.586000,23.340000,bfa-boys-zscore-expanded-tables.xlsx
81,81,,11.768000,12.934000,14.099000,15.365000,16.740000,18.231000,19.850000,21.606000,23.362000,bfa-boys-zscore-expanded-tables.xlsx
82,82,,11.784000,12.949000,14.115000,15.381000,16.756000,18.248000,19.868000,21.626000,23.383000,bfa-boys-zscore-expanded-tables.xlsx
83,83,,11.800000,12.965000,14.131000,15.397000,16.772000,18.265000,19.885000,21.645000,23.404000,bfa-boys-zscore-expanded-tables.xlsx
84,84,,11.815000,12.980000,14.145000,15.411000,16.787000,18.280000,19.902000,21.663000,23.424000,bfa-boys-zscore-expanded-tables.xlsx
85,85,,11.830000,12.995000,14.160000,15.426000,16.802000,18.296000,19.919000,21.681000,23.444000,bfa-boys-zscore-expanded-tables.xlsx
86,86,,11.845000,13.010000,14.174000,15.440000,16.816000,18.311000,19.935000,21.699000,23.463000,bfa-boys-zscore-expanded-tables.xlsx
87,87,,11.860000,13.024000,14.188000,15.454000,16.830000,18.326000,19.951000,21.716000,23.482000,bfa-boys-zscore-expanded-tables.xlsx
88,88,,11.874000,13.038000,14.202000,15.468000,16.844000,18.340000,19.966000,21.733000,23.500000,bfa-boys-zscore-expanded-tables.xlsx
89,89,,11.888000,13.051000,14.215000,15.481000,16.857000,18.354000,19.980000,21.749000,23.517000,bfa-boys-zscore-expanded-tables.xlsx
90,90,,11.901000,13.065000,14.228000,15.494000,16.870000,18.367000,19.995000,21.764000,23.534000,bfa-boys-zscore-expanded-tables.xlsx
91,91,,11.915000,13.078000,14.241000,15.506000,16.883000,18.380000,20.008000,21.780000,23.551000,bfa-boys-zscore-expanded-tables.xlsx
92,92,,11.928000,13.091000,14.253000,15.518000,16.895000,18.393000,20.022000,21.794000,23.567000,bfa-boys-zscore-expanded-tables.xlsx
93,93,,11.940000,13.103000,14.265000,15.530000,16.907000,18.405000,20.035000,21.809000,23.583000,bfa-boys-zscore-expanded-tables.xlsx
94,94,,11.953000,13.115000,14.277000,15.542000,16.919000,18.417000,20.048000,21.823000,23.598000,bfa-boys-zscore-expanded-tables.xlsx
95,95,,11.965000,13.126000,14.288000,15.553000,16.930000,18.429000,20.061000,21.837000,23.613000,bfa-boys-zscore-expanded-tables.xlsx
96,96,,11.977000,13.138000,14.300000,15.564000,16.941000,18.440000,20.073000,21.850000,23.628000,bfa-boys-zscore-expanded-tables.xlsx
97,97,,11.988000,13.149000,14.310000,15.575000,16.952000,18.451000,20.085000,21.863000,23.642000,bfa-boys-zscore-expanded-tables.xlsx
98,98,,11.999000,13.160000,14.321000,15.585000,16.962000,18.462000,20.096000,21.876000,23.656000,bfa-boys-zscore-expanded-tables.xlsx
99,99,,12.011000,13.171000,14.332000,15.596000,16.972000,18.473000,20.107000,21.888000,23.669000,bfa-boys-zscore-expanded-tables.xlsx
100,100,,12.022000,13.182000,14.342000,15.606000,16.982000,18.483000,20.118000,21.900000,23.683000,bfa-boys-zscore-expanded-tables.xlsx
101,101,,12.033000,13.192000,14.352000,15.615000,16.992000,18.493000,20.129000,21.912000,23.696000,bfa-boys-zscore-expanded-tables.xlsx
102,102,,12.043000,13.202000,14.362000,15.625000,17.002000,18.503000,20.139000,21.924000,23.708000,bfa-boys-zscore-expanded-tables.xlsx
103,103,,12.053000,13.212000,14.371000,15.634000,17.011000,18.512000,20.150000,21.935000,23.721000,bfa-boys-zscore-expanded-tables.xlsx
104,104,,12.063000,13.222000,14.380000,15.643000,17.020000,18.522000,20.159000,21.946000,23.733000,bfa-boys-zscore-expanded-tables.xlsx
105,105,,12.073000,13.232000,14.390000,15.652000,17.029000,18.531000,20.169000,21.957000,23.744000,bfa-boys-zscore-expanded-tables.xlsx
106,106,,12.083000,13.241000,14.399000,15.661000,17.038000,18.540000,20.178000,21.967000,23.756000,bfa-boys-zscore-expanded-tables.xlsx
107,107,,12.093000,13.250000,14.407000,15.669000,17.046000,18.548000,20.188000,21.977000,23.767000,bfa-boys-zscore-expanded-tables.xlsx
108,108,,12.102000,13.259000,14.416000,15.678000,17.054000,18.557000,20.196000,21.987000,23.778000,bfa-boys-zscore-expanded-tables.xlsx
109,109,,12.111000,13.268000,14.424000,15.686000,17.062000,18.565000,20.206000,21.997000,23.789000,bfa-boys-zscore-expanded-tables.xlsx
110,110,,12.121000,13.277000,14.433000,15.694000,17.070000,18.573000,20.214000,22.007000,23.799000,bfa-boys-zscore-expanded-tables.xlsx
111,111,,12.130000,13.285000,14.441000,15.702000,17.078000,18.581000,20.222000,22.016000,23.809000,bfa-boys-zscore-expanded-tables.xlsx
112,112,,12.138000,13.293000,14.449000,15.709000,17.086000,18.589000,20.231000,22.025000,23.820000,bfa-boys-zscore-expanded-tables.xlsx
113,113,,12.147000,13.302000,14.457000,15.717000,17.093000,18.596000,20.239000,22.034000,23.829000,bfa-boys-zscore-expanded-tables.xlsx
114,114,,12.155000,13.310000,14.464000,15.724000,17.100000,18.604000,20.247000,22.043000,23.839000,bfa-boys-zscore-expanded-tables.xlsx
115,115,,12.164000,13.318000,14.472000,15.731000,17.107000,18.611000,20.254000,22.051000,23.848000,bfa-boys-zscore-expanded-tables.xlsx
