id,punto_id,fuente_archivo,p01,p1,p3,p5,p10,p15,p25,p50,p75,p85,p90,p95,p97,p99,p999
72,72,bfa-boys-percentiles-expanded-tables.xlsx,12.668000,13.544000,14.081000,14.373000,14.834000,15.153000,15.635000,16.571000,17.559000,18.112000,18.495000,19.077000,19.464000,20.215000,21.565000
73,73,bfa-boys-percentiles-expanded-tables.xlsx,12.689000,13.565000,14.101000,14.394000,14.854000,15.173000,15.655000,16.592000,17.581000,18.134000,18.517000,19.100000,19.487000,20.239000,21.590000
74,74,bfa-boys-percentiles-expanded-tables.xlsx,12.708000,13.584000,14.121000,14.413000,14.874000,15.193000,15.675000,16.612000,17.602000,18.155000,18.539000,19.122000,19.510000,20.262000,21.615000
75,75,bfa-boys-percentiles-expanded-tables.xlsx,12.727000,13.603000,14.140000,14.432000,14.893000,15.212000,15.695000,16.632000,17.622000,18.176000,18.560000,19.143000,19.532000,20.285000,21.640000
76,76,bfa-boys-percentiles-expanded-tables.xlsx,12.746000,13.622000,14.159000,14.451000,14.912000,15.231000,15.713000,16.651000,17.642000,18.196000,18.580000,19.164000,19.553000,20.307000,21.663000
77,77,bfa-boys-percentiles-expanded-tables.xlsx,12.764000,13.640000,14.177000,14.469000,14.930000,15.249000,15.732000,16.670000,17.661000,18.215000,18.600000,19.185000,19.573000,20.328000,21.686000
78,78,bfa-boys-percentiles-expanded-tables.xlsx,12.782000,13.658000,14.195000,14.487000,14.948000,15.267000,15.750000,16.688000,17.680000,18.234000,18.619000,19.204000,19.593000,20.349000,21.708000
79,79,bfa-boys-percentiles-expanded-tables.xlsx,12.799000,13.675000,14.211000,14.504000,14.965000,15.284000,15.767000,16.706000,17.698000,18.253000,18.638000,19.224000,19.613000,20.369000,21.730000
80,80,bfa-boys-percentiles-expanded-tables.xlsx,12.816000,13.692000,14.228000,14.521000,14.982000,15.301000,15.784000,16.723000,17.715000,18.271000,18.656000,19.242000,19.632000,20.389000,21.751000
81,81,bfa-boys-percentiles-expanded-tables.xlsx,12.833000,13.708000,14.245000,14.537000,14.998000,15.317000,15.800000,16.740000,17.732000,18.288000,18.674000,19.260000,19.650000,20.407000,21.771000
82,82,bfa-boys-percentiles-expanded-tables.xlsx,12.849000,13.724000,14.260000,14.553000,15.014000,15.333000,15.816000,16.756000,17.749000,18.305000,18.691000,19.278000,19.668000,20.426000,21.791000
83,83,bfa-boys-percentiles-expanded-tables.xlsx,12.865000,13.740000,14.276000,14.568000,15.029000,15.349000,15.832000,16.772000,17.765000,18.321000,18.708000,19.294000,19.685000,20.444000,21.811000
84,84,bfa-boys-percentiles-expanded-tables.xlsx,12.880000,13.755000,14.291000,14.583000,15.044000,15.363000,15.847000,16.787000,17.781000,18.337000,18.724000,19.311000,19.702000,20.461000,21.829000
85,85,bfa-boys-percentiles-expanded-tables.xlsx,12.895000,13.769000,14.306000,14.598000,15.059000,15.378000,15.861000,16.802000,17.796000,18.353000,18.739000,19.327000,19.718000,20.478000,21.848000
86,86,bfa-boys-percentiles-expanded-tables.xlsx,12.909000,13.784000,14.320000,14.612000,15.073000,15.392000,15.876000,16.816000,17.811000,18.368000,18.755000,19.343000,19.734000,20.495000,21.866000
87,87,bfa-boys-percentiles-expanded-tables.xlsx,12.924000,13.798000,14.334000,14.626000,15.087000,15.406000,15.889000,16.830000,17.825000,18.382000,18.770000,19.358000,19.750000,20.511000,21.883000
88,88,bfa-boys-percentiles-expanded-tables.xlsx,12.938000,13.811000,14.347000,14.639000,15.101000,15.420000,15.903000,16.844000,17.839000,18.397000,18.784000,19.373000,19.765000,20.526000,21.900000
89,89,bfa-boys-percentiles-expanded-tables.xlsx,12.951000,13.825000,14.361000,14.653000,15.114000,15.433000,15.916000,16.857000,17.853000,18.410000,18.798000,19.387000,19.779000,20.541000,21.916000
90,90,bfa-boys-percentiles-expanded-tables.xlsx,12.964000,13.838000,14.374000,14.665000,15.127000,15.446000,15.929000,16.870000,17.866000,18.424000,18.812000,19.401000,19.793000,20.556000,21.932000
91,91,bfa-boys-percentiles-expanded-tables.xlsx,12.978000,13.850000,14.386000,14.678000,15.139000,15.458000,15.942000,16.883000,17.879000,18.437000,18.825000,19.414000,19.807000,20.570000,21.947000
92,92,bfa-boys-percentiles-expanded-tables.xlsx,12.990000,13.863000,14.399000,14.690000,15.151000,15.470000,15.954000,16.895000,17.891000,18.450000,18.838000,19.427000,19.820000,20.584000,21.962000
93,93,bfa-boys-percentiles-expanded-tables.xlsx,13.002000,13.875000,14.410000,14.702000,15.163000,15.482000,15.966000,16.907000,17.903000,18.462000,18.850000,19.440000,19.834000,20.598000,21.977000
94,94,bfa-boys-percentiles-expanded-tables.xlsx,13.015000,13.887000,14.422000,14.714000,15.175000,15.494000,15.977000,16.919000,17.915000,18.474000,18.862000,19.453000,19.846000,20.611000,21.991000
95,95,bfa-boys-percentiles-expanded-tables.xlsx,13.026000,13.898000,14.433000,14.725000,15.186000,15.505000,15.988000,16.930000,17.927000,18.486000,18.874000,19.465000,19.859000,20.624000,22.005000
96,96,bfa-boys-percentiles-expanded-tables.xlsx,13.038000,13.910000,14.445000,14.736000,15.197000,15.516000,16.000000,16.941000,17.938000,18.497000,18.886000,19.477000,19.871000,20.636000,22.018000
97,97,bfa-boys-percentiles-expanded-tables.xlsx,13.049000,13.921000,14.456000,14.747000,15.208000,15.527000,16.010000,16.952000,17.949000,18.508000,18.897000,19.489000,19.882000,20.648000,22.032000
98,98,bfa-boys-percentiles-expanded-tables.xlsx,13.060000,13.931000,14.466000,14.758000,15.218000,15.537000,16.021000,16.962000,17.960000,18.519000,18.908000,19.500000,19.894000,20.660000,22.045000
99,99,bfa-boys-percentiles-expanded-tables.xlsx,13.071000,13.942000,14.477000,14.768000,15.229000,15.548000,16.031000,16.973000,17.970000,18.530000,18.919000,19.510000,19.905000,20.672000,22.057000
100,100,bfa-boys-percentiles-expanded-tables.xlsx,13.082000,13.952000,14.487000,14.778000,15.239000,15.558000,16.041000,16.983000,17.980000,18.540000,18.929000,19.521000,19.916000,20.683000,22.069000
101,101,bfa-boys-percentiles-expanded-tables.xlsx,13.092000,13.962000,14.497000,14.788000,15.249000,15.567000,16.051000,16.992000,17.990000,18.550000,18.939000,19.532000,19.926000,20.694000,22.081000
102,102,bfa-boys-percentiles-expanded-tables.xlsx,13.102000,13.972000,14.506000,14.798000,15.258000,15.577000,16.060000,17.002000,18.000000,18.560000,18.949000,19.542000,19.937000,20.705000,22.093000
103,103,bfa-boys-percentiles-expanded-tables.xlsx,13.112000,13.982000,14.516000,14.807000,15.267000,15.586000,16.069000,17.011000,18.009000,18.570000,18.959000,19.552000,19.947000,20.715000,22.104000
104,104,bfa-boys-percentiles-expanded-tables.xlsx,13.122000,13.991000,14.525000,14.816000,15.277000,15.595000,16.078000,17.020000,18.018000,18.579000,18.968000,19.561000,19.957000,20.725000,22.115000
105,105,bfa-boys-percentiles-expanded-tables.xlsx,13.132000,14.001000,14.534000,14.826000,15.286000,15.604000,16.087000,17.029000,18.027000,18.588000,18.978000,19.571000,19.966000,20.735000,22.126000
106,106,bfa-boys-percentiles-expanded-tables.xlsx,13.141000,14.010000,14.543000,14.834000,15.294000,15.613000,16.096000,17.038000,18.036000,18.597000,18.987000,19.580000,19.975000,20.745000,22.136000
107,107,bfa-boys-percentiles-expanded-tables.xlsx,13.151000,14.019000,14.552000,14.843000,15.303000,15.622000,16.104000,17.046000,18.045000,18.605000,18.995000,19.589000,19.984000,20.754000,22.146000
108,108,bfa-boys-percentiles-expanded-tables.xlsx,13.160000,14.027000,14.561000,14.852000,15.311000,15.630000,16.113000,17.054000,18.053000,18.614000,19.004000,19.598000,19.993000,20.764000,22.156000
109,109,bfa-boys-percentiles-expanded-tables.xlsx,13.168000,14.036000,14.569000,14.860000,15.319000,15.638000,16.121000,17.062000,18.061000,18.622000,19.012000,19.606000,20.002000,20.773000,22.167000
110,110,bfa-boys-percentiles-expanded-tables.xlsx,13.177000,14.044000,14.577000,14.868000,15.328000,15.646000,16.129000,17.070000,18.069000,18.630000,19.021000,19.615000,20.011000,20.782000,22.176000
111,111,bfa-boys-percentiles-expanded-tables.xlsx,13.186000,14.053000,14.585000,14.876000,15.336000,15.654000,16.137000,17.078000,18.077000,18.638000,19.028000,19.623000,20.019000,20.790000,22.186000
