id,curva_id,indicador_codigo,sexo_codigo,edad_meses,l,m,s,stdev,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4
97,2,BMI,F,35,-0.568400,15.415500,0.085060,,,,12.100,13.100,14.200,15.400,16.800,18.400,20.300,
98,2,BMI,F,36,-0.568400,15.396800,0.085350,,,,12.100,13.100,14.200,15.400,16.800,18.400,20.300,
99,2,BMI,F,37,-0.568400,15.379600,0.085690,,,,12.100,13.100,14.100,15.400,16.800,18.400,20.300,
100,2,BMI,F,38,-0.568400,15.363800,0.086090,,,,12.100,13.000,14.100,15.400,16.800,18.400,20.300,
101,2,BMI,F,39,-0.568400,15.349300,0.086540,,,,12.000,13.000,14.100,15.300,16.800,18.400,20.300,
102,2,BMI,F,40,-0.568400,15.335800,0.087040,,,,12.000,13.000,14.100,15.300,16.800,18.400,20.300,
103,2,BMI,F,41,-0.568400,15.323300,0.087570,,,,12.000,13.000,14.100,15.300,16.800,18.400,20.400,
104,2,BMI,F,42,-0.568400,15.311600,0.088130,,,,12.000,12.900,14.000,15.300,16.800,18.400,20.400,
105,2,BMI,F,43,-0.568400,15.300700,0.088720,,,,11.900,12.900,14.000,15.300,16.800,18.400,20.400,
106,2,BMI,F,44,-0.568400,15.290500,0.089310,,,,11.900,12.900,14.000,15.300,16.800,18.500,20.400,
107,2,BMI,F,45,-0.568400,15.281400,0.089910,,,,11.900,12.900,14.000,15.300,16.800,18.500,20.500,
108,2,BMI,F,46,-0.568400,15.273200,0.090510,,,,11.900,12.900,14.000,15.300,16.800,18.500,20.500,
109,2,BMI,F,47,-0.568400,15.266100,0.091100,,,,11.800,12.800,14.000,15.300,16.800,18.500,20.500,
110,2,BMI,F,48,-0.568400,15.260200,0.091680,,,,11.800,12.800,14.000,15.300,16.800,18.500,20.600,
111,2,BMI,F,49,-0.568400,15.255600,0.092270,,,,11.800,12.800,13.900,15.300,16.800,18.500,20.600,
112,2,BMI,F,50,-0.568400,15.252300,0.092860,,,,11.800,12.800,13.900,15.300,16.800,18.600,20.700,
113,2,BMI,F,51,-0.568400,15.250300,0.093450,,,,11.800,12.800,13.900,15.300,16.800,18.600,20.700,
114,2,BMI,F,52,-0.568400,15.249600,0.094030,,,,11.700,12.800,13.900,15.200,16.800,18.600,20.700,
115,2,BMI,F,53,-0.568400,15.250200,0.094600,,,,11.700,12.700,13.900,15.300,16.800,18.600,20.800,
116,2,BMI,F,54,-0.568400,15.251900,0.095150,,,,11.700,12.700,13.900,15.300,16.800,18.700,20.800,
117,2,BMI,F,55,-0.568400,15.254400,0.095680,,,,11.700,12.700,13.900,15.300,16.800,18.700,20.900,
118,2,BMI,F,56,-0.568400,15.257500,0.096180,,,,11.700,12.700,13.900,15.300,16.800,18.700,20.900,
119,2,BMI,F,57,-0.568400,15.261200,0.096650,,,,11.700,12.700,13.900,15.300,16.900,18.700,21.000,
120,2,BMI,F,58,-0.568400,15.265300,0.097090,,,,11.700,12.700,13.900,15.300,16.900,18.800,21.000,
121,2,BMI,F,59,-0.568400,15.269800,0.097500,,,,11.600,12.700,13.900,15.300,16.900,18.800,21.000,
