id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
126,33.000,92.000,0.000,0.800,5.00000000,0.03000000,3.000,0.000,1.300,0.800,0.018,0.019,0.053,0.000,132.000,0.000,792.00000000,0.000,1.200,0.000,0.060,0.040,1.000,0.140,17.000,0.000,0.000,0.000,28.000,11.000,30.000,0.400,2.000,0.200,11.000,13.000,290.000,0.000,0.000,0.000,0.010,ALA,0.000,65.000,0.000
128,16.700,95.600,0.000,0.760,3.00000000,0.10000000,2.800,0.000,0.600,0.050,0.007,0.007,0.020,0.000,70.500,0.000,423.00000000,0.000,1.000,4.000,0.056,0.026,0.770,0.110,13.000,0.000,0.200,2.500,15.000,15.000,16.000,0.560,2.000,0.086,9.500,4.800,236.000,0.007,0.120,0.600,0.010,ALA,0.000,50.000,0.000
129,24.300,93.900,0.000,0.630,4.80000000,0.00000000,4.800,0.000,0.620,0.150,0.027,0.007,0.071,0.000,437.000,0.000,2622.00000000,0.000,0.560,15.000,0.060,0.060,0.770,0.200,4.000,0.000,0.230,0.000,3.800,27.000,31.000,0.500,7.000,0.000,13.000,52.000,219.000,0.130,0.046,0.600,0.000,0,0.000,20.000,0.000
130,341.000,31.000,0.000,4.600,50.70000000,12.70000000,38.000,15.200,0.500,13.200,0.900,7.600,2.100,0.000,0.000,0.000,0.00000000,0.000,5.200,0.000,0.050,0.100,1.100,0.020,8.000,0.000,0.260,0.000,0.000,49.000,168.000,0.800,0.000,0.700,63.000,3.000,186.000,0.086,0.450,4.200,0.050,ALA,0.500,80.000,0.000
131,619.000,1.500,0.000,30.100,13.60000000,6.50000000,7.100,2.800,7.000,47.800,9.500,26.400,10.300,0.000,0.000,0.000,0.00000000,0.000,5.000,0.800,0.120,0.100,18.000,0.580,53.000,0.000,0.810,94.000,0.000,74.000,393.000,1.900,0.000,3.000,180.000,120.000,820.000,1.700,0.700,3.000,0.050,ALA,0.500,80.000,0.000
133,258.000,35.100,0.000,0.320,63.20000000,0.00000000,63.200,25.300,1.200,0.200,0.010,0.110,0.000,0.000,10.000,0.000,60.00000000,0.000,0.130,0.500,0.040,0.022,0.100,0.020,33.000,0.000,0.020,0.000,8.800,20.000,11.000,0.490,2.700,0.060,4.000,40.000,77.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
134,30.000,91.100,0.000,0.700,5.40000000,1.00000000,4.400,2.200,2.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.570,0.000,0.040,0.060,0.100,0.060,9.000,0.000,0.020,0.000,5.700,13.900,19.700,0.410,2.700,0.080,9.800,50.000,238.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
135,251.000,38.000,0.000,0.380,60.90000000,0.90000000,60.000,24.400,0.550,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.160,1.100,0.024,0.013,0.100,0.010,6.000,0.000,0.100,0.000,19.600,12.000,16.000,0.220,2.700,0.050,7.100,7.000,110.000,0.080,0.050,2.000,0.000,0,0.000,30.000,0.000
136,251.000,36.900,0.000,0.310,59.60000000,0.00000000,59.600,23.800,2.600,0.630,0.030,0.330,0.000,0.000,21.000,0.000,126.00000000,0.000,0.000,0.500,0.010,0.020,1.900,0.020,33.000,0.000,0.020,0.000,20.000,39.000,8.600,1.000,2.700,0.100,30.000,10.000,344.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
137,251.000,37.200,0.000,0.450,60.90000000,0.00000000,60.900,24.400,1.200,0.300,0.015,0.170,0.000,0.000,10.000,0.000,60.00000000,0.000,0.160,0.500,0.009,0.015,0.100,0.020,30.000,0.000,0.020,0.000,2.700,20.000,16.000,0.490,2.700,0.060,4.000,7.000,56.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
138,255.000,36.100,0.000,0.310,62.60000000,0.00000000,62.600,25.000,0.800,0.200,0.010,0.110,0.000,0.000,10.000,0.000,60.00000000,0.000,0.160,0.500,0.010,0.014,0.100,0.020,50.900,0.000,0.020,0.000,49.200,20.000,10.000,0.490,2.700,0.060,4.000,5.000,59.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
139,33.000,90.600,0.000,0.700,6.40000000,0.00000000,6.400,2.600,2.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00000000,0.000,0.160,0.000,0.020,0.020,0.100,0.050,50.900,0.000,0.020,0.000,49.200,20.600,21.300,0.570,2.700,0.070,10.700,47.000,123.000,0.040,0.100,2.000,0.000,0,0.000,30.000,0.000
140,239.000,40.800,0.000,0.500,58.70000000,6.70000000,52.000,23.500,1.100,0.000,0.000,0.000,0.000,0.000,20.400,0.000,123.00000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,30.000,0.000
141,234.000,41.400,0.000,0.380,58.00000000,1.00000000,57.000,23.200,0.200,0.000,0.000,0.000,0.000,0.000,3.200,0.000,19.10000000,0.000,0.060,0.000,0.005,0.006,0.140,0.014,9.000,0.000,0.015,0.000,4.000,32.000,4.500,0.150,2.700,0.040,2.000,11.000,53.000,0.020,0.090,0.600,0.000,0,0.000,30.000,0.000
142,197.000,49.000,0.000,0.560,48.00000000,0.70000000,47.300,19.200,0.610,0.140,0.025,0.016,0.066,0.000,133.000,0.000,795.00000000,0.000,0.560,3.500,0.045,0.025,0.560,0.082,17.500,0.000,0.180,0.990,17.800,7.400,15.300,0.530,14.000,0.130,57.000,7.000,155.000,0.071,0.052,0.860,0.000,0,0.000,30.000,0.000
143,283.000,26.200,0.000,3.400,62.60000000,0.35000000,53.400,0.000,7.300,0.510,0.017,0.074,0.074,0.000,361.000,0.000,2163.00000000,0.000,4.300,3.100,0.015,0.074,2.900,0.140,10.000,0.000,0.520,0.000,1.000,55.000,71.000,2.700,1.000,0.390,32.000,10.000,1162.000,0.240,0.340,2.200,0.010,ALA,0.000,150.000,0.000
144,219.000,35.000,0.000,2.200,42.40000000,0.00000000,42.400,0.000,17.800,0.520,0.041,0.340,0.110,0.000,78.200,0.000,469.00000000,0.000,2.300,59.500,0.150,0.120,1.900,0.150,4.000,0.000,0.460,0.000,2.000,41.000,73.000,2.300,1.000,0.400,27.000,8.000,824.000,0.220,0.400,2.700,0.010,ALA,0.000,250.000,0.000
145,633.000,12.300,0.000,5.600,6.40000000,0.00000000,6.400,0.000,13.700,62.000,53.400,3.500,1.500,0.000,0.000,0.000,0.00000000,0.000,1.300,0.300,0.030,0.050,2.000,0.090,9.000,0.000,0.500,0.000,1.000,23.000,160.000,3.600,3.000,0.900,90.000,28.000,660.000,1.800,0.550,3.000,0.000,0,0.000,15.000,0.000
146,289.000,23.900,0.000,1.900,65.10000000,0.00000000,65.100,0.000,8.700,0.450,0.150,0.150,0.030,0.000,5.700,0.000,34.00000000,0.000,0.050,2.700,0.060,0.080,2.300,0.160,21.000,0.000,0.800,0.000,3.000,63.000,57.000,1.900,1.000,0.300,50.000,8.000,650.000,0.150,0.290,3.000,0.010,ALA,0.000,220.000,0.000
147,305.000,21.200,0.000,2.500,69.30000000,0.00000000,69.300,0.000,6.500,0.500,0.160,0.140,0.140,0.000,5.000,0.000,30.00000000,0.000,0.120,3.500,0.120,0.055,0.680,0.250,10.000,0.000,0.150,2.000,1.000,80.000,111.000,2.300,2.000,0.250,41.000,21.000,782.000,0.460,0.370,7.300,0.010,ALA,0.000,230.000,0.000
148,233.000,67.900,0.000,1.900,0.40000000,0.00000000,0.400,0.000,6.300,23.500,1.900,15.500,1.900,0.000,19.300,0.000,116.00000000,0.000,1.300,19.000,0.080,0.150,1.400,0.360,30.000,0.000,1.100,10.000,6.000,12.000,43.000,0.490,1.000,0.400,30.000,4.700,487.000,0.200,0.230,0.400,0.110,ALA,0.000,45.000,0.000
149,41.400,88.900,0.000,0.880,8.50000000,0.00000000,8.500,0.000,1.500,0.100,0.010,0.040,0.020,0.000,26.000,0.000,156.00000000,0.000,0.500,3.300,0.040,0.053,0.650,0.070,5.000,0.000,0.270,0.000,6.000,16.000,21.000,0.650,0.500,0.140,11.000,2.000,279.000,0.160,0.130,1.300,0.000,0,0.000,85.000,0.000
150,42.100,87.800,0.000,0.630,6.10000000,0.00000000,6.100,0.000,4.900,0.600,0.000,0.000,0.000,0.000,34.000,0.000,204.00000000,0.000,1.900,12.000,0.020,0.020,0.090,0.060,10.000,0.000,0.160,1.100,22.000,10.000,13.000,0.740,1.000,0.130,2.400,1.000,78.000,4.200,0.077,0.100,0.060,ALA,0.000,350.000,0.000
151,74.200,80.500,0.000,0.630,16.00000000,0.00000000,16.000,0.000,2.500,0.300,0.049,0.094,0.062,0.000,267.000,0.000,1600.00000000,0.000,0.590,2.600,0.024,0.030,0.280,0.100,7.000,0.000,0.160,0.000,16.000,8.000,25.000,0.370,3.000,0.038,8.000,4.000,178.000,0.047,0.020,0.600,0.000,0,0.000,60.000,0.000
152,31.000,91.000,0.000,0.500,6.30000000,0.30000000,6.000,0.000,1.700,0.000,0.000,0.000,0.000,0.000,31.000,0.000,188.00000000,0.000,0.500,0.000,0.030,0.030,0.470,0.100,0.000,0.000,0.000,0.000,23.000,4.000,15.000,0.500,0.000,0.100,8.000,3.000,158.000,0.000,0.000,0.000,0.010,ALA,0.000,130.000,0.000
153,62.100,84.200,0.000,0.880,13.30000000,0.00000000,13.300,0.000,1.300,0.310,0.070,0.084,0.093,0.000,2.800,0.000,16.50000000,0.000,0.130,1.500,0.039,0.042,0.330,0.045,52.000,0.000,0.190,0.400,15.000,17.000,23.000,0.350,1.200,0.087,13.000,2.700,234.000,0.084,0.099,1.200,0.010,ALA,0.000,150.000,0.000
154,72.700,81.600,0.000,1.300,14.10000000,0.00000000,14.100,0.000,2.400,0.700,0.200,0.100,0.300,0.000,9.800,0.000,58.80000000,0.000,0.010,0.000,0.070,0.110,1.200,0.030,12.500,0.000,0.240,0.000,14.200,21.200,21.000,0.430,1.500,0.110,17.300,4.000,382.000,0.083,0.073,0.000,0.010,ALA,0.000,45.000,0.000
155,48.100,87.400,0.000,0.630,10.20000000,0.00000000,10.200,0.000,1.600,0.170,0.022,0.052,0.078,0.000,23.200,0.000,139.00000000,0.000,0.860,8.300,0.072,0.043,1.300,0.045,2.000,0.000,0.180,0.100,5.400,8.300,17.000,0.260,1.400,0.093,7.900,1.700,177.000,0.068,0.071,0.590,0.010,ALA,0.000,125.000,0.000
