id,id_ingrediente,id_nutriente,valor_por_100g
508,12,24,0.10000000
509,12,25,16.00000000
510,12,26,0.00000000
511,12,27,0.40000000
512,12,28,1.10000000
513,12,29,0.00000000
514,12,30,17.00000000
515,12,31,108.00000000
516,12,32,1.00000000
517,12,33,10.00000000
518,12,34,0.78000000
519,12,35,23.00000000
520,12,36,2.00000000
521,12,37,146.00000000
522,12,38,0.69000000
523,12,39,0.14000000
524,12,40,4.00000000
525,12,41,0.02000000
526,12,42,0.00000000
527,12,43,68.30000000
528,12,44,0.00000000
529,13,1,322.00000000
530,13,2,17.80000000
531,13,3,0.00000000
532,13,4,12.70000000
533,13,5,58.30000000
534,13,6,56.20000000
535,13,7,2.10000000
536,13,8,0.00000000
537,13,9,9.00000000
538,13,10,2.20000000
539,13,11,0.28000000
540,13,12,0.21000000
541,13,13,0.89000000
542,13,14,0.00000000
543,13,15,0.00000000
544,13,16,0.00000000
545,13,17,0.00000000
546,13,18,0.00000000
547,13,19,1.40000000
548,13,20,65.50000000
549,13,21,0.47000000
550,13,22,0.09000000
551,13,23,8.20000000
552,13,24,0.50000000
553,13,25,57.00000000
554,13,26,0.00000000
555,13,27,0.80000000
556,13,28,7.00000000
557,13,29,0.00000000
558,13,30,38.00000000
559,13,31,320.00000000
560,13,32,3.90000000
561,13,33,0.00000000
562,13,34,2.90000000
563,13,35,120.00000000
564,13,36,3.00000000
565,13,37,340.00000000
566,13,38,3.10000000
567,13,39,0.45000000
568,13,40,53.00000000
569,13,41,0.07000000
570,13,42,0.00000000
571,13,43,90.50000000
572,13,44,0.00000000
573,14,1,356.00000000
574,14,2,6.10000000
575,14,3,0.00000000
576,14,4,10.10000000
577,14,5,64.80000000
578,14,6,63.40000000
579,14,7,1.40000000
580,14,8,0.00000000
581,14,9,16.20000000
582,14,10,2.70000000
583,14,11,0.31000000
584,14,12,0.36000000
585,14,13,1.20000000
586,14,14,0.00000000
587,14,15,0.00000000
588,14,16,0.00000000
589,14,17,0.00000000
590,14,18,0.00000000
591,14,19,0.40000000
592,14,20,0.00000000
593,14,21,0.21000000
594,14,22,0.04000000
595,14,23,4.60000000
596,14,24,0.30000000
597,14,25,25.00000000
598,14,26,0.00000000
599,14,27,0.00000000
600,14,28,0.00000000
601,14,29,0.00000000
602,14,30,16.80000000
603,14,31,314.00000000
604,14,32,6.80000000
605,14,33,0.00000000
606,14,34,0.70000000
607,14,35,103.00000000
608,14,36,214.00000000
609,14,37,136.00000000
610,14,38,0.00000000
611,14,39,0.00000000
612,14,40,0.00000000
613,14,41,0.05000000
614,14,42,0.00000000
615,14,43,50.00000000
616,14,44,0.00000000
617,15,1,102.00000000
618,15,2,74.90000000
619,15,3,0.00000000
620,15,4,3.30000000
621,15,5,18.20000000
622,15,6,13.70000000
623,15,7,4.50000000
624,15,8,0.00000000
625,15,9,2.30000000
626,15,10,1.30000000
627,15,11,0.20000000
628,15,12,0.37000000
629,15,13,0.60000000
630,15,14,0.00000000
631,15,15,13.00000000
632,15,16,0.00000000
633,15,17,0.00000000
634,15,18,0.00000000
635,15,19,0.45000000
636,15,20,1.00000000
637,15,21,0.04000000
638,15,22,0.08000000
639,15,23,1.80000000
640,15,24,0.09000000
641,15,25,33.00000000
642,15,26,0.00000000
643,15,27,0.88000000
644,15,28,0.00000000
645,15,29,1.00000000
646,15,30,3.00000000
647,15,31,69.00000000
648,15,32,0.60000000
649,15,33,1.00000000
650,15,34,0.30000000
651,15,35,22.00000000
652,15,36,288.00000000
653,15,37,200.00000000
654,15,38,0.19000000
655,15,39,0.05300000
656,15,40,0.80000000
657,15,41,0.02000000
658,15,42,0.00000000
659,15,43,15.00000000
660,15,44,0.00000000
661,16,1,346.00000000
662,16,2,13.70000000
663,16,3,0.00000000
664,16,4,8.60000000
665,16,5,64.70000000
666,16,6,58.50000000
667,16,7,6.20000000
668,16,8,0.00000000
669,16,9,9.20000000
670,16,10,3.80000000
671,16,11,0.57000000
672,16,12,1.00000000
673,16,13,1.50000000
674,16,14,0.00000000
675,16,15,21.40000000
676,16,16,0.00000000
677,16,17,129.00000000
678,16,18,0.00000000
679,16,19,1.10000000
680,16,20,1.00000000
681,16,21,0.36000000
682,16,22,0.20000000
683,16,23,1.50000000
684,16,24,0.40000000
685,16,25,26.00000000
686,16,26,0.00000000
687,16,27,0.65000000
688,16,28,0.00000000
689,16,29,0.00000000
690,16,30,7.00000000
691,16,31,256.00000000
692,16,32,2.40000000
693,16,33,2.00000000
694,16,34,1.70000000
695,16,35,93.00000000
696,16,36,6.00000000
697,16,37,330.00000000
698,16,38,0.46000000
699,16,39,0.23000000
700,16,40,15.40000000
701,16,41,0.02000000
702,16,42,0.00000000
703,16,43,20.00000000
704,16,44,0.00000000
705,17,1,110.00000000
706,17,2,72.30000000
707,17,3,0.00000000
708,17,4,3.40000000
709,17,5,18.60000000
710,17,6,14.00000000
711,17,7,4.50000000
712,17,8,0.00000000
713,17,9,4.20000000
714,17,10,1.50000000
715,17,11,0.20000000
716,17,12,0.40000000
717,17,13,0.60000000
718,17,14,0.00000000
719,17,15,26.30000000
720,17,16,0.00000000
721,17,17,158.00000000
722,17,18,0.00000000
723,17,19,0.70000000
724,17,20,1.00000000
725,17,21,0.22000000
726,17,22,0.07000000
727,17,23,2.00000000
728,17,24,0.10000000
729,17,25,31.00000000
730,17,26,0.00000000
731,17,27,0.37000000
732,17,28,0.00000000
733,17,29,7.00000000
734,17,30,3.00000000
735,17,31,103.00000000
736,17,32,0.60000000
737,17,33,1.00000000
738,17,34,0.30000000
739,17,35,33.00000000
740,17,36,17.00000000
741,17,37,251.00000000
742,17,38,0.14000000
743,17,39,0.04600000
744,17,40,0.70000000
745,17,41,0.02000000
746,17,42,0.00000000
747,17,43,18.00000000
748,17,44,0.00000000
749,18,1,354.00000000
750,18,2,13.30000000
751,18,3,0.00000000
752,18,4,14.10000000
753,18,5,57.20000000
754,18,6,52.20000000
755,18,7,5.00000000
756,18,8,0.00000000
757,18,9,7.00000000
758,18,10,6.10000000
759,18,11,0.71000000
760,18,12,1.60000000
761,18,13,3.30000000
762,18,14,0.00000000
763,18,15,1.40000000
764,18,16,0.00000000
765,18,17,8.50000000
766,18,18,0.00000000
767,18,19,2.90000000
768,18,20,0.00000000
769,18,21,0.36000000
770,18,22,0.32000000
771,18,23,1.50000000
772,18,24,0.49000000
773,18,25,184.00000000
774,18,26,0.00000000
775,18,27,0.00000000
776,18,28,0.00000000
777,18,29,0.00000000
778,18,30,0.33000000
779,18,31,457.00000000
780,18,32,4.60000000
781,18,33,0.00000000
782,18,34,3.10000000
783,18,35,197.00000000
784,18,36,5.00000000
785,18,37,563.00000000
786,18,38,2.00000000
787,18,39,0.59000000
788,18,40,8.50000000
789,18,41,0.26000000
790,18,42,0.00000000
791,18,43,45.00000000
792,18,44,0.00000000
793,19,1,351.00000000
794,19,2,10.10000000
795,19,3,0.00000000
796,19,4,12.70000000
797,19,5,69.00000000
798,19,6,68.70000000
799,19,7,0.32000000
